pid	cam	min	sec	frame	absoluteframe	smile	talk	laugh
1001	1	0	 0	 0	    1	1	0	0
1001	1	0	 1	 8	   39	0	0	0
1001	1	1	 2	19	 1880	0	1	0
1001	1	1	 3	 5	 1896	0	0	0
1001	1	1	15	26	 2277	0	1	0
1001	1	1	18	18	 2359	0	0	0
1001	1	1	23	14	 2505	0	1	0
1001	1	1	49	12	 3283	0	0	0
1001	1	1	50	17	 3318	0	1	0
1001	1	1	50	23	 3324	0	0	0
1001	1	1	57	28	 3539	0	1	0
1001	1	1	58	13	 3554	0	0	0
1001	1	2	 8	25	 3866	0	1	0
1001	1	2	29	15	 4486	0	0	0
1001	1	2	32	 3	 4564	0	1	0
1001	1	2	32	28	 4589	0	0	0
1001	1	2	41	 8	 4839	1	0	0
1001	1	2	41	21	 4852	1	0	1
1001	1	2	42	20	 4881	1	0	0
1001	1	2	45	29	 4980	0	0	0
1001	1	3	 6	22	 5603	0	1	0
1001	1	3	19	 4	 5975	0	0	0
1001	1	3	38	23	 6564	0	1	0
1001	1	3	39	10	 6581	0	0	0
1001	1	3	44	14	 6735	1	0	0
1001	1	3	47	11	 6822	1	1	0
1001	1	3	49	19	 6890	0	1	0
1001	1	4	 9	17	 7488	1	1	0
1001	1	4	 9	26	 7497	0	1	0
1001	1	4	18	 7	 7748	0	0	0
1001	1	4	19	22	 7793	0	1	0
1001	1	4	20	25	 7826	0	0	0
1001	1	5	 3	27	 9118	0	1	0
1001	1	5	 8	10	 9251	1	1	0
1001	1	5	12	27	 9388	0	1	0
1001	1	5	13	26	 9417	0	0	0
1001	1	5	14	 6	 9427	1	0	0
1001	1	5	14	27	 9448	0	1	0
1001	1	5	20	 3	 9604	0	0	0
1001	1	5	33	14	10005	0	1	0
1001	1	5	33	23	10014	0	0	0
1001	1	5	47	 5	10416	1	0	0
1001	1	5	48	 1	10442	0	0	0
1001	1	6	10	20	11121	1	0	0
1001	1	6	15	 4	11255	0	1	0
1001	1	6	15	14	11265	0	0	0
1001	1	6	49	 1	12272	0	1	0
1001	1	6	56	 3	12484	0	0	0
1001	1	7	 2	19	12680	1	0	0
1001	1	7	 2	26	12687	1	0	1
1001	1	7	 4	 0	12721	1	0	0
1001	1	7	 5	22	12773	0	0	0
1001	1	7	 6	 9	12790	0	1	0
1001	1	7	 8	26	12867	0	1	0
