pid	cam	min	sec	frame	absoluteframe	smile	talk	laugh
2010	1	0	 0	 0	   1	1	0	0
2010	1	0	 2	24	  85	1	1	0
2010	1	0	 3	29	 120	1	0	0
2010	1	0	 4	14	 135	0	0	0
2010	1	0	 6	 6	 187	0	1	0
2010	1	0	 7	26	 237	1	1	0
2010	1	0	 8	20	 261	0	1	0
2010	1	0	16	19	 500	1	1	0
2010	1	0	19	14	 585	1	0	0
2010	1	0	19	16	 587	0	0	0
2010	1	0	20	15	 616	0	1	0
2010	1	0	21	22	 653	1	1	0
2010	1	0	22	 9	 670	1	0	0
2010	1	0	27	 3	 814	1	1	0
2010	1	0	28	20	 861	1	0	0
2010	1	0	28	21	 862	1	0	1
2010	1	0	30	 0	 901	1	0	0
2010	1	0	30	 1	 902	1	1	0
2010	1	0	32	13	 974	1	0	0
2010	1	0	33	12	1003	0	0	0
2010	1	0	42	 8	1269	0	1	0
2010	1	0	42	24	1285	0	0	0
2010	1	0	46	23	1404	0	1	0
2010	1	0	47	 4	1415	0	0	0
2010	1	0	52	22	1583	0	1	0
2010	1	0	53	 7	1598	0	0	0
2010	1	0	56	 5	1686	0	1	0
2010	1	0	57	17	1728	0	0	0
2010	1	0	57	21	1732	1	0	0
2010	1	0	58	29	1770	0	0	0
2010	1	1	 0	 7	1808	0	1	0
2010	1	1	 0	26	1827	0	0	0
2010	1	1	 7	 6	2017	1	0	0
2010	1	1	 7	15	2026	1	0	1
2010	1	1	 8	 9	2050	1	0	0
2010	1	1	10	11	2112	0	0	0
2010	1	1	11	23	2154	0	1	0
2010	1	1	12	13	2174	0	0	0
2010	1	1	13	22	2213	0	1	0
2010	1	1	14	 4	2225	0	0	0
2010	1	1	14	25	2246	0	1	0
2010	1	1	17	 9	2320	1	0	0
2010	1	1	17	10	2321	1	0	1
2010	1	1	19	 8	2379	1	0	0
2010	1	1	20	13	2414	0	0	0
2010	1	1	23	17	2508	0	1	0
2010	1	1	23	24	2515	0	0	0
2010	1	1	24	 4	2525	0	0	1
2010	1	1	24	 5	2526	1	0	1
2010	1	1	24	15	2536	1	0	0
2010	1	1	24	16	2537	1	1	0
2010	1	1	25	22	2573	0	1	0
2010	1	1	28	 4	2645	0	0	0
2010	1	1	31	 4	2735	0	1	0
2010	1	1	36	21	2902	1	1	0
2010	1	1	38	 6	2947	0	1	0
2010	1	1	45	25	3176	1	0	0
2010	1	1	45	26	3177	1	0	1
2010	1	1	47	 3	3214	0	0	1
2010	1	1	47	 9	3220	0	0	0
2010	1	1	47	11	3222	0	1	0
2010	1	1	56	29	3510	0	0	0
2010	1	1	58	 2	3543	0	1	0
2010	1	1	58	26	3567	0	0	0
2010	1	2	 1	27	3658	0	1	0
2010	1	2	 2	20	3681	0	0	0
2010	1	2	 3	17	3708	1	0	0
2010	1	2	 6	14	3795	1	1	0
2010	1	2	 7	 5	3816	1	0	0
2010	1	2	10	14	3915	0	0	0
2010	1	2	11	 4	3935	0	1	0
2010	1	2	11	17	3948	0	0	0
2010	1	2	12	 9	3970	0	1	0
2010	1	2	12	23	3984	0	0	0
2010	1	2	13	 9	4000	1	0	0
2010	1	2	15	23	4074	0	0	0
2010	1	2	19	17	4188	0	1	0
2010	1	2	19	29	4200	0	0	0
2010	1	2	21	27	4258	0	1	0
2010	1	2	23	 1	4292	0	0	0
2010	1	2	29	23	4494	0	1	0
2010	1	2	30	11	4512	0	0	0
2010	1	2	33	24	4615	1	1	0
2010	1	2	35	10	4661	0	1	0
2010	1	2	37	13	4724	1	1	0
2010	1	2	38	10	4751	1	0	0
2010	1	2	38	13	4754	0	0	0
2010	1	2	43	28	4919	0	1	0
2010	1	2	44	24	4945	1	1	0
2010	1	2	45	 5	4956	1	0	0
2010	1	2	48	 1	5042	1	0	1
2010	1	2	49	 1	5072	1	0	0
2010	1	2	50	 1	5102	0	0	0
2010	1	2	50	 9	5110	0	1	0
2010	1	2	51	 7	5138	0	0	0
2010	1	2	51	22	5153	0	1	0
2010	1	2	56	 8	5289	1	1	0
2010	1	2	56	13	5294	1	0	0
2010	1	2	56	14	5295	1	0	1
2010	1	2	59	11	5382	1	0	0
2010	1	2	59	13	5384	1	1	0
2010	1	3	 1	28	5459	0	1	0
2010	1	3	 3	18	5509	1	1	0
2010	1	3	 4	 6	5527	0	1	0
2010	1	3	10	26	5727	0	0	0
2010	1	3	14	16	5837	0	1	0
2010	1	3	15	 4	5855	0	0	0
2010	1	3	28	14	6255	0	1	0
2010	1	3	29	 1	6272	0	0	0
2010	1	3	42	28	6689	0	1	0
2010	1	3	43	 5	6696	0	0	0
2010	1	3	44	 6	6727	1	0	0
2010	1	3	45	 7	6758	1	0	1
2010	1	3	48	24	6865	1	0	0
2010	1	3	51	 3	6934	0	0	0
2010	1	3	51	11	6942	0	1	0
2010	1	3	56	 2	7083	0	0	0
2010	1	3	56	 6	7087	1	0	0
2010	1	3	57	 6	7117	0	0	0
2010	1	3	58	16	7157	0	1	0
2010	1	4	 2	10	7271	1	1	0
2010	1	4	 3	21	7312	0	1	0
2010	1	4	 5	 2	7353	1	1	0
2010	1	4	 5	 4	7355	1	1	1
2010	1	4	 5	 5	7356	1	0	1
2010	1	4	 6	 5	7386	1	0	0
2010	1	4	 6	 7	7388	1	1	0
2010	1	4	 7	 8	7419	1	0	0
2010	1	4	 9	13	7484	1	1	0
2010	1	4	12	 5	7566	0	1	0
2010	1	4	18	15	7756	1	1	0
2010	1	4	19	 0	7771	0	1	0
2010	1	4	19	 6	7777	0	0	0
2010	1	4	20	 4	7805	0	1	0
2010	1	4	21	 1	7832	0	0	0
2010	1	4	24	 5	7926	0	1	0
2010	1	4	24	13	7934	0	0	0
2010	1	4	28	12	8053	0	1	0
2010	1	4	28	20	8061	0	0	0
2010	1	4	41	19	8450	0	1	0
2010	1	4	41	24	8455	0	0	0
2010	1	4	42	 1	8462	1	0	0
2010	1	4	42	11	8472	0	0	0
2010	1	4	43	 3	8494	0	1	0
2010	1	4	43	18	8509	1	1	0
2010	1	4	43	19	8510	1	0	0
2010	1	4	44	 3	8524	0	0	0
2010	1	4	47	22	8633	0	1	0
2010	1	4	48	 5	8646	0	0	0
2010	1	4	56	 0	8881	0	1	0
2010	1	4	57	 6	8917	1	0	0
2010	1	4	58	23	8964	0	0	0
2010	1	5	 0	 9	9010	0	0	0
