pid	cam	min	sec	frame	absoluteframe	smile	talk	laugh
1005	1	0	 0	 0	   1	0	0	0
1005	1	0	 1	18	  49	0	1	0
1005	1	0	25	23	 774	0	0	0
1005	1	0	27	18	 829	0	1	0
1005	1	0	41	22	1253	0	0	0
1005	1	0	46	18	1399	0	1	0
1005	1	0	59	29	1800	1	1	0
1005	1	1	 1	 2	1833	1	0	1
1005	1	1	 2	20	1881	0	0	1
1005	1	1	 2	27	1888	0	0	0
1005	1	1	 2	28	1889	0	1	0
1005	1	1	 5	 7	1958	0	0	0
1005	1	1	 6	15	1996	0	1	0
1005	1	1	12	 8	2169	0	0	0
1005	1	1	13	 6	2197	0	1	0
1005	1	1	18	23	2364	0	0	0
1005	1	1	22	 4	2465	0	1	0
1005	1	1	24	24	2545	0	0	0
1005	1	1	26	 3	2584	0	1	0
1005	1	1	26	26	2607	0	0	0
1005	1	1	28	28	2669	0	1	0
1005	1	1	29	10	2681	0	0	0
1005	1	1	30	 0	2701	0	1	0
1005	1	1	34	14	2835	1	1	0
1005	1	1	34	24	2845	1	0	1
1005	1	1	36	 4	2885	1	1	0
1005	1	1	37	25	2936	0	1	0
1005	1	1	44	17	3138	1	1	0
1005	1	1	46	10	3191	0	1	0
1005	1	1	46	20	3201	0	0	0
1005	1	1	48	13	3254	0	1	0
1005	1	1	48	17	3258	0	0	0
1005	1	1	59	28	3599	0	1	0
1005	1	2	 0	 3	3604	0	0	0
1005	1	2	 1	 4	3635	0	1	0
1005	1	2	 1	 9	3640	0	0	0
1005	1	2	 2	 3	3664	0	1	0
1005	1	2	10	13	3914	0	0	0
1005	1	2	16	22	4103	0	1	0
1005	1	2	16	27	4108	0	0	0
1005	1	2	18	22	4163	1	0	0
1005	1	2	19	 0	4171	0	0	0
1005	1	2	21	 4	4235	0	1	0
1005	1	2	21	11	4242	0	0	0
1005	1	2	29	18	4489	0	1	0
1005	1	2	29	26	4497	0	0	0
1005	1	2	33	22	4613	0	1	0
1005	1	2	34	25	4646	0	0	0
1005	1	2	35	12	4663	1	0	0
1005	1	2	36	22	4703	1	1	0
1005	1	2	37	 4	4715	0	1	0
1005	1	2	42	 7	4868	0	0	1
1005	1	2	42	10	4871	1	0	1
1005	1	2	44	27	4948	1	0	0
1005	1	2	45	19	4970	0	0	0
1005	1	2	54	23	5244	0	1	0
1005	1	2	55	 1	5252	0	0	0
1005	1	2	59	 0	5371	0	1	0
1005	1	2	59	10	5381	0	0	0
1005	1	3	 1	14	5445	1	0	0
1005	1	3	 3	 2	5493	0	0	0
1005	1	3	 5	23	5574	0	1	0
1005	1	3	 5	28	5579	0	0	0
1005	1	3	 8	 6	5647	0	1	0
1005	1	3	 8	21	5662	0	0	0
1005	1	3	14	10	5831	0	1	0
1005	1	3	16	 0	5881	0	0	0
1005	1	3	20	 7	6008	1	0	0
1005	1	3	20	 8	6009	1	0	1
1005	1	3	22	22	6083	1	0	0
1005	1	3	22	24	6085	1	1	0
1005	1	3	23	 1	6092	1	0	0
1005	1	3	25	 3	6154	0	0	0
1005	1	3	31	12	6343	0	1	0
1005	1	3	31	19	6350	0	0	0
1005	1	3	34	28	6449	0	1	0
1005	1	3	35	 6	6457	0	0	0
1005	1	3	38	10	6551	0	1	0
1005	1	4	 0	12	7213	1	1	0
1005	1	4	 2	12	7273	0	1	0
1005	1	4	 8	23	7464	1	0	0
1005	1	4	11	 6	7537	1	1	0
1005	1	4	12	 0	7561	0	1	0
1005	1	4	15	 6	7657	0	0	0
1005	1	4	16	 9	7690	0	1	0
1005	1	4	23	 3	7894	1	1	0
1005	1	4	23	28	7919	1	0	1
1005	1	4	26	 7	7988	1	0	0
1005	1	4	27	29	8040	1	1	0
1005	1	4	31	21	8152	1	0	0
1005	1	4	33	28	8219	0	0	0
1005	1	4	35	12	8263	0	1	0
1005	1	4	45	10	8561	0	0	1
1005	1	4	45	18	8569	1	0	1
1005	1	4	49	23	8694	1	0	0
1005	1	4	50	 9	8710	1	1	0
1005	1	4	52	22	8783	1	0	0
1005	1	4	52	23	8784	0	0	0
1005	1	4	57	 9	8920	0	1	0
1005	1	5	 8	 6	9247	1	1	0
1005	1	5	 8	11	9252	1	0	0
1005	1	5	 8	12	9253	1	0	1
1005	1	5	10	25	9326	1	0	1
