pid	cam	min	sec	frame	absoluteframe	smile	talk	laugh
2001	1	0	 0	 0	   1	0	1	0
2001	1	0	 4	19	 140	0	0	0
2001	1	0	 6	27	 208	0	1	0
2001	1	0	12	25	 386	0	0	0
2001	1	0	18	13	 554	0	1	0
2001	1	0	23	 0	 691	0	0	0
2001	1	0	25	25	 776	0	1	0
2001	1	0	34	 6	1027	0	0	0
2001	1	0	38	11	1152	1	0	0
2001	1	0	39	 6	1177	0	0	0
2001	1	0	39	 9	1180	0	1	0
2001	1	1	12	22	2183	0	0	0
2001	1	1	14	 5	2226	0	1	0
2001	1	1	27	16	2627	0	0	0
2001	1	1	29	25	2696	0	1	0
2001	1	1	48	18	3259	0	0	0
2001	1	1	54	 6	3427	0	1	0
2001	1	2	14	13	4034	0	0	0
2001	1	2	17	13	4124	0	1	0
2001	1	2	27	24	4435	0	0	0
2001	1	2	37	 1	4712	0	1	0
2001	1	2	37	11	4722	0	0	0
2001	1	3	14	16	5837	0	1	0
2001	1	3	15	 9	5860	0	0	0
2001	1	3	16	18	5899	0	1	0
2001	1	3	43	13	6704	0	0	0
2001	1	3	43	14	6705	1	0	0
2001	1	3	43	20	6711	1	0	1
2001	1	3	44	26	6747	1	0	0
2001	1	3	44	28	6749	0	0	0
2001	1	3	45	13	6764	0	1	0
2001	1	3	47	26	6837	0	0	0
2001	1	3	50	 4	6905	0	1	0
2001	1	3	55	26	7077	0	0	0
2001	1	4	 5	13	7364	0	1	0
2001	1	4	 6	 0	7381	0	0	0
2001	1	4	 6	19	7400	1	0	0
2001	1	4	 6	22	7403	1	0	1
2001	1	4	 7	29	7440	1	0	0
2001	1	4	 8	 2	7443	0	0	0
2001	1	4	13	 4	7595	0	1	0
2001	1	4	16	23	7704	0	0	0
2001	1	4	19	21	7792	0	1	0
2001	1	4	21	10	7841	1	1	0
2001	1	4	21	21	7852	1	0	0
2001	1	4	21	27	7858	1	0	1
2001	1	4	23	 6	7897	1	1	1
2001	1	4	23	19	7910	1	1	0
2001	1	4	28	 6	8047	0	1	0
2001	1	4	39	 4	8375	1	1	0
2001	1	4	39	16	8387	1	0	0
2001	1	4	39	25	8396	0	0	0
2001	1	4	47	29	8640	0	1	0
2001	1	4	48	20	8661	0	0	0
2001	1	4	59	22	8993	0	1	0
2001	1	5	 1	14	9045	0	0	0
2001	1	5	 4	13	9134	0	1	0
2001	1	5	21	29	9660	0	1	0
