pid	cam	min	sec	frame	absoluteframe	smile	talk	laugh
2002	1	0	 0	 0	   1	0	1	0
2002	1	0	14	22	 443	0	0	0
2002	1	0	16	 6	 487	0	1	0
2002	1	0	16	13	 494	0	0	0
2002	1	0	17	16	 527	0	1	0
2002	1	0	21	 2	 633	1	1	0
2002	1	0	21	18	 649	0	1	0
2002	1	0	21	19	 650	0	0	0
2002	1	0	23	29	 720	0	1	0
2002	1	0	24	 6	 727	0	0	0
2002	1	0	26	12	 793	0	1	0
2002	1	0	26	17	 798	0	0	0
2002	1	0	43	27	1318	0	1	0
2002	1	0	47	12	1423	1	1	0
2002	1	0	48	21	1462	0	1	0
2002	1	1	18	 6	2347	1	1	0
2002	1	1	19	 0	2371	0	1	0
2002	1	1	22	 0	2461	0	0	0
2002	1	1	23	15	2506	0	1	0
2002	1	1	24	14	2535	0	0	0
2002	1	1	25	20	2571	0	1	0
2002	1	1	40	29	3030	1	1	0
2002	1	1	46	29	3210	0	1	0
2002	1	1	52	 3	3364	1	1	0
2002	1	1	53	13	3404	1	0	0
2002	1	1	54	13	3434	1	1	0
2002	1	1	58	 9	3550	0	1	0
2002	1	2	18	25	4166	1	1	0
2002	1	2	20	18	4219	1	1	1
2002	1	2	22	16	4277	1	1	0
2002	1	2	24	16	4337	0	1	0
2002	1	2	30	 4	4505	1	1	0
2002	1	2	30	 6	4507	1	0	0
2002	1	2	32	 0	4561	1	1	0
2002	1	2	32	11	4572	0	1	0
2002	1	2	41	 4	4835	0	0	0
2002	1	2	46	 8	4989	0	1	0
2002	1	3	 0	20	5421	0	0	0
2002	1	3	 3	 2	5493	0	1	0
2002	1	3	 5	20	5571	0	0	0
2002	1	3	 6	29	5610	0	1	0
2002	1	3	 7	10	5621	0	0	0
2002	1	3	 7	27	5638	0	1	0
2002	1	3	10	23	5724	0	0	0
2002	1	3	12	 0	5761	0	1	0
2002	1	3	13	26	5817	0	0	0
2002	1	3	17	 8	5919	0	1	0
2002	1	3	17	18	5929	0	0	0
2002	1	3	24	15	6136	0	1	0
2002	1	3	43	 6	6697	0	0	0
2002	1	4	29	 4	8075	0	1	0
2002	1	4	29	18	8089	0	0	0
2002	1	4	32	 7	8168	0	1	0
2002	1	4	32	17	8178	0	0	0
2002	1	4	33	14	8205	0	1	0
2002	1	4	33	29	8220	0	0	0
2002	1	4	39	11	8382	0	1	0
2002	1	4	40	 7	8408	0	1	0
